순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
26,조병현,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
1,박준순,두산,0.316,39,167,155,18,49,7,3,6,80,27,0,0,9,0,3,32,4,0.516,0.365,0.881,15,0.367,0.000
2,조수행,두산,0.316,52,69,57,9,18,2,1,0,22,6,5,0,7,0,0,8,1,0.386,0.391,0.777,3,0.235,0.000
3,류승민,두산,0.300,5,13,10,1,3,1,0,0,4,0,0,0,3,0,0,2,0,0.400,0.462,0.862,1,0.000,0.000
4,카메론,두산,0.298,70,298,265,38,79,19,3,9,131,43,0,2,28,0,3,50,9,0.494,0.369,0.863,23,0.256,1.000
5,김민석,두산,0.283,63,224,198,27,56,12,1,3,79,23,1,1,23,0,1,41,1,0.399,0.359,0.758,13,0.358,0.286
6,정수빈,두산,0.279,68,266,229,38,64,6,3,5,91,26,5,0,29,0,3,38,2,0.397,0.368,0.765,18,0.296,0.500
7,박찬호,두산,0.277,70,301,260,47,72,16,2,3,101,25,5,3,31,1,2,42,6,0.388,0.355,0.743,19,0.237,0.500
8,김인태,두산,0.267,32,37,30,4,8,2,0,1,13,2,0,0,4,0,3,11,1,0.433,0.405,0.838,0,0.000,0.261
9,박지훈,두산,0.262,65,202,172,26,45,4,2,0,53,16,8,0,18,0,4,28,3,0.308,0.345,0.653,10,0.275,0.250
10,손아섭,두산,0.254,35,131,118,11,30,2,0,1,35,12,0,3,10,0,0,23,1,0.297,0.305,0.602,8,0.257,0.000
11,오명진,두산,0.250,43,105,88,11,22,5,2,2,37,11,1,2,14,1,0,19,3,0.420,0.346,0.766,7,0.188,0.286
12,양의지,두산,0.249,67,266,225,23,56,7,0,11,96,38,0,6,22,0,13,32,7,0.427,0.342,0.769,14,0.211,0.333
