순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
26,김동헌,키움,0.154,12,28,26,1,4,1,0,0,5,1,0,0,2,0,0,9,0,0.192,0.214,0.406,1,0.000,0.000
27,박성빈,키움,0.130,15,24,23,1,3,0,0,0,3,1,0,0,0,0,1,8,0,0.130,0.167,0.297,0,0.500,0.000
28,박한결,키움,0.128,14,41,39,1,5,1,0,0,6,0,0,0,2,0,0,12,0,0.154,0.171,0.325,1,0.000,0.000
29,주성원,키움,0.125,11,20,16,2,2,0,0,0,2,0,0,0,3,0,1,6,0,0.125,0.300,0.425,0,0.000,0.250
29,최재영,키움,0.125,16,27,24,3,3,1,0,0,4,3,0,1,2,0,0,10,1,0.167,0.185,0.352,1,0.286,0.000
31,박채울,키움,0.100,7,11,10,1,1,0,0,0,1,0,1,0,0,0,0,4,1,0.100,0.100,0.200,0,0.000,0.000
32,염승원,키움,0.077,5,14,13,0,1,0,0,0,1,0,1,0,0,0,0,5,0,0.077,0.077,0.154,0,0.000,0.000
33,김윤하,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
33,김재현,키움,0.000,5,10,9,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0.000,0.100,0.100,0,0.000,0.000
33,박병호,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
33,박지성,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
33,박진형,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
33,이주형,키움,0.000,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
33,조영건,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
1,권광민,한화,0.500,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.500,0.500,1.000,0,1.000,0.000
2,장규현,한화,0.400,2,5,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.400,0.400,0.800,0,0.000,1.000
3,페라자,한화,0.322,71,322,267,60,86,18,1,16,154,47,2,4,48,4,1,59,6,0.577,0.422,0.999,24,0.268,0.000
4,강백호,한화,0.312,67,294,260,42,81,17,0,17,149,70,0,1,32,2,1,63,6,0.573,0.388,0.961,24,0.408,0.000
5,김태연,한화,0.303,61,209,175,28,53,9,2,4,78,15,13,1,16,0,4,32,3,0.446,0.372,0.818,11,0.222,0.000
6,이도윤,한화,0.299,61,207,194,26,58,11,2,1,76,23,3,1,8,1,1,29,1,0.392,0.328,0.720,15,0.353,0.250
7,허인서,한화,0.282,62,203,174,32,49,4,0,11,86,38,3,2,19,2,5,60,1,0.494,0.365,0.859,8,0.341,0.000
8,문현빈,한화,0.280,69,316,268,44,75,17,4,9,127,45,1,3,40,0,4,34,11,0.474,0.378,0.852,19,0.239,0.000
9,이원석,한화,0.276,59,168,152,23,42,5,2,1,54,13,4,0,11,0,1,28,1,0.355,0.329,0.684,11,0.306,0.333
10,노시환,한화,0.262,64,292,256,48,67,13,0,11,113,44,1,2,28,0,5,82,6,0.441,0.344,0.785,20,0.233,0.000
11,하주석,한화,0.256,27,85,78,5,20,2,0,0,22,6,1,0,5,0,1,21,1,0.282,0.310,0.592,5,0.304,0.333
12,심우준,한화,0.255,63,226,192,33,49,7,0,3,65,22,5,0,26,0,3,38,1,0.339,0.353,0.692,11,0.250,0.000
13,유민,한화,0.250,9,24,20,1,5,0,0,0,5,2,0,0,2,0,2,9,0,0.250,0.375,0.625,1,0.143,0.000
14,채은성,한화,0.245,28,115,102,10,25,3,0,2,34,12,0,2,8,0,3,21,5,0.333,0.313,0.646,8,0.227,1.000
15,황영묵,한화,0.233,39,88,73,10,17,4,1,0,23,14,2,0,11,0,2,17,3,0.315,0.349,0.664,3,0.313,0.000
16,이진영,한화,0.225,36,83,71,10,16,2,0,2,24,12,0,1,10,0,1,25,1,0.338,0.325,0.663,4,0.238,0.091
17,박정현,한화,0.200,19,15,15,3,3,0,0,1,6,2,0,0,0,0,0,4,0,0.400,0.200,0.600,0,0.000,0.000
18,오재원,한화,0.182,61,114,99,24,18,2,0,0,20,6,3,0,12,0,0,18,2,0.202,0.270,0.472,4,0.182,0.000
19,최재훈,한화,0.159,37,101,82,10,13,0,0,0,13,12,2,2,8,0,7,17,3,0.159,0.283,0.442,1,0.114,0.000
20,최인호,한화,0.133,19,17,15,2,2,0,0,0,2,1,0,0,1,0,1,1,1,0.133,0.235,0.368,0,0.167,0.111
21,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,이민우,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,조동욱,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,최유빈,한화,-,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,쿠싱,한화,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
